Asic,Accounting/Finance,Age-Derived,All-Positions,Arizona State University,Avg. Tenure (before SanDisk),Job Hop,California State University,Computers,Degree Level,Degree Progam Rollup,Design,Director-VP-Mgmt,Engineer Type 1,Engineer Type,Engineer,Firmware,Gender,India,Indian Institute of Technology,Israel,Marketing/Sales,Number of Records,Other 1,Other 2,Other,Position level,Predict2,San Jose State University,SanDisk Position Change (from prior role),SanDisk Position,SanDisk Tenure,Santa Clara University,Software,Stanford University,Systems,Technion - Israel Institute of Technology,Total Experience,Total Other Job Experience,Total Other Jobs,Total SanDisk Jobs,Total SanDisk and Other Jobs,USA,USC,University Region,University of California,University of Illinois,University,Year,Id,Rf
0,0,34,Computers,0,2.152328767,2-3,0,1,Bachelors,Engineering,0,0,India,Other,0,0,Men,1,0,0,0,1,1,0,0,IC,High,0,No Change,IT,3,0,0,0,0,0,14,10.76164384,5,1,6,0,0,India,0,0,Other,2012,181994,0.512745940
0,0,38,Marketing/Sales,0,4.671232877,4-5,0,0,Bachelors,Other,0,0,India,Other,0,0,Men,1,0,0,1,1,1,0,0,IC,High,0,No Change,Marketing/Sales,0.252054795,0,0,0,0,0,5,4.671232877,1,1,2,0,0,India,0,0,Other,2012,185184,0.574551912
0,0,32,Computers,0,3.085616438,3-4,0,1,Masters,Computers,0,0,India,Other,0,0,Men,1,0,0,0,1,1,0,0,IC,High,0,No Change,IT,0.504109589,0,0,0,0,0,13,12.34246575,4,1,5,0,0,India,0,0,Other,2012,189491,0.598773172
0,0,28,Computers,0,1.568767123,1-2,0,1,Masters,Other,0,0,India,Other,0,0,Men,1,0,0,0,1,1,0,0,IC,High,0,No Change,IT,1.334246575,0,0,0,0,0,9,7.843835616,5,1,6,0,0,India,0,0,Other,2012,11410,0.600443603
0,0,22,Computers,0,1.666666667,1-2,0,1,Masters,Business,0,0,Other,Other,0,0,Men,0,0,0,0,1,1,1,0,IC,High,0,No Change,IT,1.419178082,0,0,0,0,0,6,5,3,1,4,0,0,EMEA,0,0,Other,2012,186257,0.550330653
0,0,35,Computers,0,2.686027397,2-3,0,1,Masters,Computers,0,0,Other,Other,0,0,Men,0,0,0,0,1,1,1,0,IC,High,0,No Change,IT,0.915068493,0,0,0,0,0,14,13.43013699,5,1,6,0,0,EMEA,0,0,Other,2012,181955,0.612136625
0,1,30,Accounting/Finance,0,1.647945205,1-2,0,0,Masters,Engineering,0,0,Other,Other,0,0,Men,0,0,0,0,1,1,1,0,IC,High,0,No Change,Finance,1.252054795,0,0,0,0,0,8,6.591780822,4,1,5,0,0,APAC,0,0,Other,2012,185947,0.616312704
0,0,22,Other,0,0,0-1,0,0,Missing,Other,0,0,Other,Other,0,0,Men,0,0,0,0,1,1,1,1,,High,0,No Change,Other,0.915068493,0,0,0,0,0,1,0,0,1,1,0,0,Unknown,0,0,Other,2012,11191,0.700669504
0,0,32,Other,0,1.750684932,1-2,0,0,Missing,Other,0,0,Other,Other,0,0,Men,0,0,0,0,1,1,1,1,Director,High,0,No Change,Other,2.794520548,0,0,0,0,0,15,12.25479452,7,2,9,0,0,Unknown,0,0,Other,2012,183469,0.669766518
0,0,22,Other,0,0,0-1,0,0,Missing,Other,0,0,Other,Other,0,0,Men,0,0,0,0,1,1,1,1,IC,High,0,No Change,Other,0.167123288,0,0,0,0,0,0,0,0,1,1,0,0,Unknown,0,0,Other,2012,11193,0.722385116
